##2015년 8월 31일 http://www.krx.co.kr/에서 다운로드받음. ,,,,,,,,,,,,http://financialfreedom.kr/834,
market,code,company,categoryCode,category,stocks,capitalStock,parValue,currency,tel,address,code.yahoo,code.google,
코스피,096760,JW홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","56,619,991","28,309,995,500",500,원(KRW),02-840-6777,서울특별시 서초구 남부순환로 2477,096760.KS,KRX:096760,
코스피,105560,KB금융,116409,기타 금융업,"386,351,693","1,931,758,465,000","5,000",원(KRW),02-2073-7114,서울특별시 중구 남대문로 84,105560.KS,KRX:105560,
코스피,002550,KB손해보험,116501,보험업,"60,000,000","30,000,000,000",500,원(KRW),-1544-0114,서울특별시 강남구 테헤란로 117 LIG손해보험,002550.KS,KRX:002550,
코스피,009440,KC그린홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","22,434,980","11,217,490,000",500,원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층,009440.KS,KRX:009440,
코스피,119650,KC코트렐,032901,일반 목적용 기계 제조업,"10,000,000","5,000,000,000",500,원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층,119650.KS,KRX:119650,
코스피,092220,KEC,032601,반도체 제조업,"59,047,384","29,523,692,000",500,원(KRW),02-2025-5000,서울특별시 서초구 마방로10길 5,092220.KS,KRX:092220,
코스피,109070,KGP,031702,"골판지, 종이 상자 및 종이 용기 제조업","37,356,857","18,678,428,500",500,원(KRW),031-627-9322,경기도 용인시 처인구 이동면 백옥대로 563,109070.KS,KRX:109070,
코스피,001390,KG케미칼,032001,기초화학물질 제조업,"11,478,870","59,702,595,000","5,000",원(KRW),02-2680-4114,울산광역시 울주군 온산읍 당월로 322,001390.KS,KRX:001390,
코스피,001940,KISCO홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","3,695,276","18,476,380,000","5,000",원(KRW),055-260-0500,경상남도 창원시 성산구 공단로103번길 12 한국철강(주),001940.KS,KRX:001940,
코스피,083420,KPX그린케미칼,032004,기타 화학제품 제조업,"20,000,000","10,000,000,000",500,원(KRW),041-661-5000,충남 서산시 대산읍 독곳리 411-13,083420.KS,KRX:083420,
코스피,025000,KPX케미칼,032001,기초화학물질 제조업,"4,840,000","24,200,000,000","5,000",원(KRW),02-2014-4000,서울특별시 마포구 마포대로 137 KPX빌딩,025000.KS,KRX:025000,
코스피,092230,KPX홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","4,224,646","21,123,230,000","5,000",원(KRW),02-2014-4150,서울특별시 마포구 마포대로 137 KPX빌딩 19층,092230.KS,KRX:092230,
코스피,000040,KR모터스,033109,그외 기타 운송장비 제조업,"175,307,764","87,653,882,000",500,원(KRW),055-282-7011,경상남도 창원시 성산구 완암로 28,000040.KS,KRX:000040,
코스피,044450,KSS해운,085001,해상 운송업,"11,592,940","5,796,470,000",500,원(KRW),3702-2700,서울특별시 종로구 인사동길 12 대일빌딩 8층,044450.KS,KRX:044450,
코스피,030210,KTB투자증권,116601,금융지원 서비스업,"60,314,092","301,570,460,000","5,000",원(KRW),02-2184-2000,서울특별시 영등포구 여의대로 66 KTB빌딩,030210.KS,KRX:030210,
코스피,058850,KTcs,106309,기타 정보 서비스업,"42,685,000","23,842,500,000",500,원(KRW),042-604-5138,대전광역시 서구 갈마로 160,058850.KS,KRX:058850,
코스피,093050,LF,031401,봉제의복 제조업,"29,240,000","146,200,000,000","5,000",원(KRW),02-3441-8114,서울특별시 강남구 언주로 870 (신사동),093050.KS,KRX:093050,
코스피,003550,LG,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","172,557,131","879,359,040,000","5,000",원(KRW),02-3773-5114,서울특별시 영등포구 여의대로 128,003550.KS,KRX:003550,
코스피,034220,LG디스플레이,032602,전자부품 제조업,"357,815,700","1,789,078,500,000","5,000",원(KRW),02-3777-5114,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층),034220.KS,KRX:034220,
코스피,001120,LG상사,074601,상품 중개업,"38,760,000","193,800,000,000","5,000",원(KRW),02-3773-1114,서울특별시 영등포구 여의대로 128 LG트윈타워 동관,001120.KS,KRX:001120,
코스피,068870,LG생명과학,032102,의약품 제조업,"16,576,990","84,066,030,000","5,000",원(KRW),02-3773-1114,서울특별시 종로구 새문안로 58,068870.KS,KRX:068870,
코스피,051900,LG생활건강,032004,기타 화학제품 제조업,"15,618,197","88,589,470,000","5,000",원(KRW),02-3773-5114,서울특별시 종로구 새문안로 58,051900.KS,KRX:051900,
코스피,032640,LG유플러스,106102,전기통신업,"436,611,361","2,573,969,175,000","5,000",원(KRW),070-4080-1114,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,032640.KS,KRX:032640,
코스피,011070,LG이노텍,032602,전자부품 제조업,"23,667,107","118,335,535,000","5,000",원(KRW),02-3777-1114,서울특별시 중구 한강대로 416 서울스퀘어 20층,011070.KS,KRX:011070,
코스피,066570,LG전자,032604,통신 및 방송 장비 제조업,"163,647,814","904,169,030,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구 여의대로 128 LG트윈타워,066570.KS,KRX:066570,
코스피,108670,LG하우시스,032202,플라스틱제품 제조업,"8,967,670","50,000,000,000","5,000",원(KRW),3777-1114,서울특별시 영등포구 국제금융로 10 국제금융센터(One IFC),108670.KS,KRX:108670,
코스피,051910,LG화학,032001,기초화학물질 제조업,"66,271,100","369,500,105,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구 여의대로 128,051910.KS,KRX:051910,
코스피,006260,LS,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","32,200,000","161,000,000,000","5,000",원(KRW),02-2189-9988,서울특별시 강남구 영동대로 517 아셈타워 아셈타워 21층,006260.KS,KRX:006260,
코스피,000680,LS네트웍스,074608,상품 종합 도매업,"77,965,896","393,993,655,000","5,000",원(KRW),02-799-7114,경상남도 김해시 분성로627번길 15 (주)엘에스네트웍스,000680.KS,KRX:000680,
코스피,010120,LS산전,032801,"전동기, 발전기 및 전기 변환 공급 제어 장치 제조업","30,000,000","150,000,000,000","5,000",원(KRW),02-2034-4237,경기도 안양시 동안구 엘에스로 127 LS타워,010120.KS,KRX:010120,
코스피,023150,MH에탄올,031101,알콜음료 제조업,"7,378,526","4,596,763,000",500,원(KRW),055-231-0701,경상남도 창원시 마산회원구 내서읍 광려천남로 25,023150.KS,KRX:023150,
코스피,035420,NAVER,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","32,962,679","16,481,339,500",500,원(KRW),1588-3830,경기도 성남시 분당구 불정로 6,035420.KS,KRX:035420,
코스피,181710,NHN엔터테인먼트,105802,소프트웨어 개발 및 공급업,"19,565,025","9,782,512,500",500,원(KRW),1544-6859,경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄,181710.KS,KRX:181710,
코스피,005940,NH투자증권,116601,금융지원 서비스업,"281,408,887","1,531,275,030,000","5,000",원(KRW),02-768-7000,서울특별시 영등포구 여의대로 60 우리투자증권빌딩,005940.KS,KRX:005940,
코스피,034310,NICE,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","37,882,300","18,941,150,000",500,원(KRW),02-2122-4000,서울특별시 영등포구 국회대로74길 4 (여의도동) 나이스그룹 3사옥,034310.KS,KRX:034310,
코스피,008260,NI스틸,032401,1차 철강 제조업,"28,426,850","14,213,425,000",500,원(KRW),02-758-6789,서울특별시 중구 세종대로 23 창화빌딩 남대문로5가,008260.KS,KRX:008260,
코스피,010060,OCI,032001,기초화학물질 제조업,"23,849,371","127,246,855,000","5,000",원(KRW),02-727-9500,서울특별시 중구 소공로 94 OCI 빌딩,010060.KS,KRX:010060,
코스피,100840,S&TC,032901,일반 목적용 기계 제조업,"7,084,612","3,542,306,000",500,원(KRW),055-212-6500,경상남도 창원시 성산구 완암로 12,100840.KS,KRX:100840,
코스피,064960,S&T모티브,033003,자동차 부품 제조업,"14,403,386","72,016,930,000","5,000",원(KRW),051-509-2114,부산광역시 기장군 철마면 여락송정로 363,064960.KS,KRX:064960,
코스피,003570,S&T중공업,033003,자동차 부품 제조업,"32,473,439","83,683,597,500","2,500",원(KRW),055-280-5000,경상남도 창원시 성산구 남면로 599,003570.KS,KRX:003570,
코스피,036530,S&T홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","15,370,076","7,885,038,000",500,원(KRW),02-3279-5010,서울특별시 금천구 가산디지털1로 134,036530.KS,KRX:036530,
코스피,010950,S-Oil,031902,석유 정제품 제조업,"112,582,792","291,511,797,500","2,500",원(KRW),02-3772-5151,서울특별시 마포구 백범로 192,010950.KS,KRX:010950,
코스피,034120,SBS,106002,텔레비전 방송업,"18,252,582","91,262,910,000","5,000",원(KRW),02-2061-0006,서울특별시 양천구 목동서로 161,034120.KS,KRX:034120,
코스피,101060,SBS미디어홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","139,896,190","69,948,095,000",500,원(KRW),02-2113-5599,서울특별시 양천구 목동서로 161,101060.KS,KRX:101060,
코스피,004060,SG세계물산,074608,상품 종합 도매업,"202,424,960","101,212,480,000",500,원(KRW),02-850-5191,서울특별시 금천구 디지털로10길 35,004060.KS,KRX:004060,
코스피,001380,SG충남방적,033003,자동차 부품 제조업,"41,747,470","20,873,735,000",500,원(KRW),070-5038-6334,충청남도 논산시 연무읍 양지길 45-18,001380.KS,KRX:001380,
코스피,002360,SH에너지화학,032001,기초화학물질 제조업,"111,133,730","55,566,865,000",500,원(KRW),063-469-1500,전라북도 군산시 외항7길 20,002360.KS,KRX:002360,
코스피,009160,SIMPAC,032902,특수 목적용 기계 제조업,"29,084,925","14,542,462,500",500,원(KRW),032-510-0044,인천광역시 부평구 부평북로 141 (주)SIMPAC,009160.KS,KRX:009160,
코스피,034730,SK,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","70,360,297","15,385,286,400",200,원(KRW),02-2121-5114,서울특별시 종로구 종로 26 SK주식회사,034730.KS,KRX:034730,
코스피,011790,SKC,032004,기타 화학제품 제조업,"36,779,163","183,895,815,000","5,000",원(KRW),031-250-7114,경기도 수원시 장안구 장안로309번길 84 (정자동),011790.KS,KRX:011790,
코스피,018670,SK가스,074607,기타 전문 도매업,"8,796,377","43,981,885,000","5,000",원(KRW),02-6200-8424,경기도 성남시 분당구 판교로 332 ECO Hub,018670.KS,KRX:018670,
코스피,001740,SK네트웍스,074607,기타 전문 도매업,"248,187,647","620,753,237,500","2,500",원(KRW),02-2221-2114,서울특별시 중구 남대문로 90 5-3 SK네트웍스,001740.KS,KRX:001740,
코스피,096770,SK이노베이션,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","92,465,564","468,569,950,000","5,000",원(KRW),02-2121-5114,서울특별시 종로구 종로 26,096770.KS,KRX:096770,
코스피,001510,SK증권,116601,금융지원 서비스업,"320,117,171","162,014,842,500",500,원(KRW),02-3773-8245,서울특별시 영등포구 국제금융로2길 24,001510.KS,KRX:001510,
코스피,006120,SK케미칼,032005,화학섬유 제조업,"20,843,047","118,300,860,000","5,000",원(KRW),02-2008-2008,경기도 성남시 분당구 판교로 310,006120.KS,KRX:006120,
코스피,017670,SK텔레콤,106102,전기통신업,"80,745,711","44,639,473,000",500,원(KRW),02-6100-2114,서울특별시 중구 을지로 65 (을자로2가),017670.KS,KRX:017670,
코스피,000660,SK하이닉스,032601,반도체 제조업,"728,002,365","3,657,652,050,000","5,000",원(KRW),031-630-4114,경기도 이천시 부발읍 경충대로 2091,000660.KS,KRX:000660,
코스피,011810,STX,074608,상품 종합 도매업,"29,845,260","74,613,150,000","2,500",원(KRW),02-316-9600,경상남도 창원시 성산구 중앙대로 105,011810.KS,KRX:011810,
코스피,077970,STX엔진,032901,일반 목적용 기계 제조업,"23,008,904","57,522,260,000","2,500",원(KRW),-,경상남도 창원시 성산구 공단로474번길 36,077970.KS,KRX:077970,
코스피,071970,STX중공업,032901,일반 목적용 기계 제조업,"22,325,027","55,812,567,500","2,500",원(KRW),055-280-0700,경상남도 창원시 성산구 남면로 381,071970.KS,KRX:071970,
코스피,002710,TCC동양,032401,1차 철강 제조업,"20,000,000","20,000,000,000","1,000",원(KRW),02-2633-3311,경상북도 포항시 남구 괴동로 100,002710.KS,KRX:002710,
코스피,024070,WISCOM,032202,플라스틱제품 제조업,"15,025,920","7,512,960,000",500,원(KRW),031-495-1181,경기도 안산시 단원구 강촌로 237,024070.KS,KRX:024070,
코스피,037270,YG PLUS,137103,광고업,"57,510,854","29,380,427,000",500,원(KRW),02-3140-4600,서울특별시 강남구 도산대로15길 12 -,037270.KS,KRX:037270,
코스피,000500,가온전선,032803,절연선 및 케이블 제조업,"4,160,347","20,801,735,000","5,000",원(KRW),02-6921-3921,경기도 군포시 엘에스로45번길 120,000500.KS,KRX:000500,
코스피,035250,강원랜드,189102,유원지 및 기타 오락관련 서비스업,"213,940,500","106,970,250,000",500,원(KRW),033-590-7700,강원도 정선군 사북읍 하이원길 265 강원랜드,035250.KS,KRX:035250,
코스피,000860,건설화학공업,032004,기타 화학제품 제조업,"6,500,000","6,500,000,000","1,000",원(KRW),051-892-4221,부산광역시 부산진구 냉정로 289 (가야동),000860.KS,KRX:000860,
코스피,008020,경남에너지,043502,가스 제조 및 배관공급업,"41,249,008","20,624,504,000",500,원(KRW),055-260-4231,경상남도 창원시 성산구 연덕로 18 (웅남동),008020.KS,KRX:008020,
코스피,002100,경농,032004,기타 화학제품 제조업,"21,691,750","10,845,875,000",500,원(KRW),02-3488-5800,서울특별시 서초구 강남대로39길 15-10한라비발디스튜디오193,002100.KS,KRX:002100,
코스피,009450,경동나비엔,032805,가정용 기기 제조업,"12,739,510","12,739,510,000","1,000",원(KRW),031-659-1144,경기도 평택시 서탄면 수월암길 95 -,009450.KS,KRX:009450,
코스피,012320,경동도시가스,043502,가스 제조 및 배관공급업,"3,484,800","17,424,000,000","5,000",원(KRW),052-219-5300,울산광역시 북구 염포로 260-10,012320.KS,KRX:012320,
코스피,000050,경방,031301,방적 및 가공사 제조업,"2,741,527","13,707,635,000","5,000",원(KRW),02-2638-6000,서울특별시 영등포구 영중로 15 (영등포동 4가),000050.KS,KRX:000050,
코스피,214390,경보제약,032101,기초 의약물질 및 생물학적 제제 제조업,"23,906,860","11,953,430,000",500,원(KRW),02-2175-2315,충청남도 아산시 실옥로 174,214390.KS,KRX:214390,
코스피,012610,경인양행,032001,기초화학물질 제조업,"40,396,365","20,198,182,500",500,원(KRW),032-571-7498,인천광역시 서구 건지로 199 (석남동) 223-52,012610.KS,KRX:012610,
코스피,009140,경인전자,032602,전자부품 제조업,"1,570,797","7,853,985,000","5,000",원(KRW),02-2113-2000,"서울특별시 금천구 가산디지털2로 184 1411호(가산동,벽산/경인디지털밸리2)",009140.KS,KRX:009140,
코스피,013580,계룡건설산업,064102,토목 건설업,"8,930,907","44,654,535,000","5,000",원(KRW),042-480-7114-5,대전광역시 서구 문정로48번길 48 -,013580.KS,KRX:013580,
코스피,012200,계양전기,032901,일반 목적용 기계 제조업,"32,600,000","17,000,000,000",500,원(KRW),02-559-6800,서울특별시 강남구 테헤란로 508 (대치동)해성2빌딩 2층,012200.KS,KRX:012200,
코스피,004200,고려개발,064102,토목 건설업,"20,000,000","100,000,000,000","5,000",원(KRW),031-420-9000,"경기도 용인시 수지구 풍덕천로 112 501(풍덕천동, 하나프라자빌딩)",004200.KS,KRX:004200,
코스피,002140,고려산업,031006,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000","1,000",원(KRW),051-600-5069,부산광역시 사상구 새벽시장로 21(감전동),002140.KS,KRX:002140,
코스피,010130,고려아연,032402,1차 비철금속 제조업,"18,870,000","94,350,000,000","5,000",원(KRW),02-519-3416,서울특별시 강남구 강남대로 542 영풍빌딩,010130.KS,KRX:010130,
코스피,002240,고려제강,032401,1차 철강 제조업,"18,000,000","18,000,000,000","1,000",원(KRW),051-760-1700,부산광역시 수영구 구락로 150,002240.KS,KRX:002240,
코스피,009810,고려포리머,074607,기타 전문 도매업,"33,709,316","16,854,658,000",500,원(KRW),02-6000-7800,"서울특별시 강남구 영동대로 513 100-1(삼성동, 코엑스상사전시장C-)",009810.KS,KRX:009810,
코스피,001290,골든브릿지증권,116601,금융지원 서비스업,"63,737,067","65,040,543,000","1,000",원(KRW),02-3779-3000,서울특별시 서대문구 충정로 50 골든브릿지빌딩,001290.KS,KRX:001290,
코스피,009290,광동제약,032102,의약품 제조업,"52,420,851","52,420,851,000","1,000",원(KRW),02-6006-7777,서울특별시 서초구 서초중앙로 85 가산빌딩,009290.KS,KRX:009290,
코스피,017040,광명전기,032801,"전동기, 발전기 및 전기 변환 공급 제어 장치 제조업","43,337,615","21,668,807,500",500,원(KRW),031-494-0720,경기도 안산시 단원구 목내로 160 (목내동),017040.KS,KRX:017040,
코스피,017900,광전자,032601,반도체 제조업,"57,943,763","28,971,881,500",500,원(KRW),063-839-1111,전라북도 익산시 약촌로 133 (신흥동),017900.KS,KRX:017900,
코스피,037710,광주신세계,074701,종합 소매업,"1,600,000","8,000,000,000","5,000",원(KRW),062-360-1234,광주광역시 서구 무진대로 932 (주)광주신세계,037710.KS,KRX:037710,
코스피,192530,광주은행,116401,은행 및 저축기관,"51,316,057","256,580,285,000","5,000",원(KRW),062-239-5000,광주광역시 동구 제봉로 225,192530.KS,KRX:192530,
코스피,140910,광희리츠,126801,부동산 임대 및 공급업,"3,628,735","18,143,675,000","5,000",원(KRW),02-2077-5800,"서울특별시 마포구 마포대로 109 3302(공덕동, 롯데캐슬프레지던트제33층제오)",140910.KS,KRX:140910,
코스피,030610,교보증권,116601,금융지원 서비스업,"36,000,000","180,000,000,000","5,000",원(KRW),02-3771-9000,서울특별시 영등포구 의사당대로 97 교보증권빌딩,030610.KS,KRX:030610,
코스피,007690,국도화학,032001,기초화학물질 제조업,"5,810,616","29,053,080,000","5,000",원(KRW),02-3282-1400,서울특별시 금천구 가산디지털2로 61,007690.KS,KRX:007690,
코스피,005320,국동,074604,가정용품 도매업,"4,696,124","2,348,062,000",500,원(KRW),02-3407-7710,"서울특별시 동대문구 천호대로 405 7,8층(장안동,동보빌딩)",005320.KS,KRX:005320,
코스피,001140,국보,084903,도로 화물 운송업,"1,027,304","5,136,520,000","5,000",원(KRW),02-765-5544,서울특별시 중구 소공로 88,001140.KS,KRX:001140,
코스피,002720,국제약품공업,032102,의약품 제조업,"16,607,318","16,607,318,000","1,000",원(KRW),031-781-9081,경기도 성남시 분당구 야탑로 96-8,002720.KS,KRX:002720,
코스피,014530,극동유화,031902,석유 정제품 제조업,"3,486,942","17,434,710,000","5,000",원(KRW),055-370-9900,경상남도 양산시 어실로 101,014530.KS,KRX:014530,
코스피,014280,금강공업,032401,1차 철강 제조업,"4,855,964","24,869,695,000","5,000",원(KRW),051-264-8881,부산광역시 사하구 다산로 110,014280.KS,KRX:014280,
코스피,008870,금비,032301,유리 및 유리제품 제조업,"1,000,000","5,000,000,000","5,000",원(KRW),031-632-5280,경기도 이천시 부발읍 중부대로1707번길 13,008870.KS,KRX:008870,
코스피,001570,금양,032001,기초화학물질 제조업,"39,353,308","19,676,654,000",500,원(KRW),051-316-5881,부산광역시 사상구 낙동대로960번길 81 (감전동) (주)금양,001570.KS,KRX:001570,
코스피,002990,금호산업,064101,건물 건설업,"34,621,101","174,566,835,000","5,000",원(KRW),02-6303-0114,전라남도 나주시 시청길 4,002990.KS,KRX:002990,
코스피,011780,금호석유화학,032001,기초화학물질 제조업,"30,467,691","167,455,885,000","5,000",원(KRW),02-6961-1114,"서울특별시 중구 청계천로 100(수표동, 시그니쳐타워)",011780.KS,KRX:011780,
코스피,001210,금호전기,032804,전구 및 조명장치 제조업,"6,916,051","34,580,255,000","5,000",원(KRW),02-707-4000,서울특별시 마포구 마포대로4다길 41 마포타워빌딩,001210.KS,KRX:001210,
코스피,073240,금호타이어,032201,고무제품 제조업,"157,993,158","789,965,790,000","5,000",원(KRW),02-6303-8114,광주광역시 광산구 어등대로 658,073240.KS,KRX:073240,
코스피,092440,기신정기,032902,특수 목적용 기계 제조업,"29,200,000","14,600,000,000",500,원(KRW),032-820-1600,"인천광역시 남동구 은봉로 111 49동 1호(논현동, 남동공단)",092440.KS,KRX:092440,
코스피,000270,기아자동차,033001,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000","5,000",원(KRW),02-3464-1114,서울특별시 서초구 헌릉로 12 기아자동차,000270.KS,KRX:000270,
코스피,024110,기업은행,116401,은행 및 저축기관,"556,401,958","2,782,009,790,000","5,000",원(KRW),02-729-6114,서울특별시 중구 을지로 79 중소기업은행본점,024110.KS,KRX:024110,
코스피,004540,깨끗한나라,031701,"펄프, 종이 및 판지 제조업","30,376,900","153,715,300,000","5,000",원(KRW),02-2270-9200,서울특별시 중구 삼일대로6길 5 신조양빌딩 8층,004540.KS,KRX:004540,
코스피,007460,나라케이아이씨,032509,기타 금속가공제품 제조업,"11,425,527","5,712,763,500",500,원(KRW),02-3440-3000,서울특별시 강남구 영동대로 719 나라빌딩,007460.KS,KRX:007460,
코스피,001260,남광토건,064102,토목 건설업,"7,239,624","36,198,120,000","5,000",원(KRW),02-3011-0114,"서울특별시 강동구 천호대로 1139(길동, 강동그린타워)",001260.KS,KRX:001260,
